ID,FC name,FC parent,FC ontology,ADAN name,ADAN parent,Confidence,Note
31,,,,deep plantar arch,lateral plantar,0.9394736289978027,
31,,,,plantar metatarsal 1,deep plantar arch,0.9279606342315674,
31,,,,plantar metatarsal 4,deep plantar arch,0.9107123613357544,
31,,,,perforator,lateral plantar,0.9096996188163757,
32,Perforating branches of plantar metatarsal arteries,Plantar metatarsal arteries,ILX:0742520,plantar metatarsal 1,deep plantar arch,0.9078760147094727,
32,,,,plantar metatarsal 2,deep plantar arch,0.9023497700691223,
32,,,,plantar metatarsal 4,deep plantar arch,0.8987085819244385,
32,,,,plantar metatarsal 3,deep plantar arch,0.893588125705719,
32,,,,plantar metatarsal perforating branch 1,plantar metatarsal 1,0.8876752257347107,
33,Common plantar digital arteries,Plantar metatarsal arteries,UBERON:0002455,plantar metatarsal 1,deep plantar arch,0.9291409254074097,
33,,,,plantar metatarsal 2,deep plantar arch,0.9283148646354675,
33,,,,deep plantar arch,lateral plantar,0.9241915345191956,
33,,,,plantar metatarsal 4,deep plantar arch,0.9209331274032593,
33,,,,proper plantar digital 3,common plantar digital 2,0.9082589149475098,
34,Proper plantar digital arteries,Common plantar digital arteries,UBERON:0004540,proper plantar digital 2,common plantar digital 1,0.939395546913147,
34,,,,proper plantar digital 4,common plantar digital 2,0.9330697059631348,
34,,,,proper plantar digital 3,common plantar digital 2,0.9294564723968506,
34,,,,proper plantar digital 9,lateral plantar,0.9261999726295471,
34,,,,proper plantar digital 10,deep plantar arch,0.9187551736831665,
35,Ascending aorta,NA,UBERON:0001496,abdominal aorta,thoracic aorta,0.911674976348877,
35,,,,aortic arch,aortic arch,0.9088137149810791,
35,,,,thoracic aorta,aortic arch,0.8931719064712524,
35,,,,ascending cervical,inferior thyroid,0.8488529920578003,
35,,,,anterior segmental artery,hepatic artery proper right branch,0.8358633518218994,
36,Aortic arch,Ascending aorta,UBERON:0001508,aortic arch,aortic arch,0.9769595861434937,
36,,,,thoracic aorta,aortic arch,0.9722362160682678,
36,,,,right coronary,aortic arch,0.9462894201278687,
36,,,,aortic arch,brachiocephalic trunk,0.9361326098442078,
36,,,,aortic arch,common carotida,0.9360331296920776,
37,Brachiocephalic trunk,Aortic arch,ILX:0744963,aortic arch,brachiocephalic trunk,0.9999998807907104,need to check parent-child relation
38,Thoracic aorta,Aortic arch,UBERON:0001515,thoracic aorta,aortic arch,1.000000238418579,align
39,Posterior intercostal arteries,Thoracic aorta,ILX:0743226,thoracic aorta,posterior intercostal,1.0,need to check parent-child relation
40,Subcostal artery,Thoracic aorta,UBERON:0001561,thoracic aorta,subcostal,1.0000001192092896,need to check parent-child relation
41,Superior phrenic arteries,Thoracic aorta,UBERON:0013133,inferior phrenic,thoracic aorta,0.9416173696517944,
41,,,,thoracic aorta,thoracic aorta,0.9199944734573364,
41,,,,thoracic aorta,subcostal,0.9170200824737549,
41,,,,thoracic aorta,posterior intercostal,0.9129149913787842,
41,,,,abdominal aorta,thoracic aorta,0.9115349054336548,
42,Abdominal aorta,Thoracic aorta,UBERON:0001516,abdominal aorta,thoracic aorta,1.0,align
43,Inferior phrenic artery,Abdominal aorta,UBERON:0012255,inferior phrenic,thoracic aorta,0.9786876440048218,
43,,,,inferior mesenteric,abdominal aorta,0.95198655128479,
43,,,,common iliac,abdominal aorta,0.934425950050354,
43,,,,abdominal aorta,abdominal aorta,0.9246294498443604,
43,,,,median sacral,abdominal aorta,0.9201690554618835,
44,Lumbar arteries,Abdominal aorta,UBERON:0006636,abdominal aorta,lumbar,1.0,need to check parent-child relation
45,Coeliac trunk,Abdominal aorta,UBERON:0006637,celiac trunk,abdominal aorta,1.0,align
46,Left gastric artery,Coeliac trunk,UBERON:0001192,left gastric,splenic,0.9252489805221558,
46,,,,splenic branch,left gastro omental,0.9141019582748413,
46,,,,splenic,celiac trunk,0.9129461050033569,
46,,,,left colic,inferior mesenteric,0.9081488847732544,
46,,,,right gastric,left gastric,0.90541011095047,
47,Splenic artery,Coeliac trunk,UBERON:0001194,splenic,celiac trunk,1.0,align
48,Common hepatic artery,Coeliac trunk,UBERON:0005436,common hepatic,celiac trunk,1.0000001192092896,align
49,Gastroduodenal artery,Common hepatic artery,UBERON:0010132,gastroduodenal,common hepatic,1.0000001192092896,align
50,Proper hepatic artery,Common hepatic artery,UBERON:0015480,hepatic artery proper,common hepatic,1.0,align
51,Superior mesenteric artery,Abdominal aorta,UBERON:0001182,superior mesenteric,abdominal aorta,1.0,align
52,Middle colic artery,Superior mesenteric artery,UBERON:0001196,middle colic,superior mesenteric,1.0,align
53,Right colic artery,Superior mesenteric artery,ILX:0774820,superior mesenteric,right colic,1.0,need to check parent-child relation
54,Marginal artery,Superior mesenteric artery,ILX:0742315,superior mesenteric,ileal 2,0.9224364757537842,
54,,,,superior mesenteric,ileocolic,0.9207508563995361,
54,,,,ileocolic ileal branch,superior mesenteric,0.9188010692596436,
54,,,,middle colic,superior mesenteric,0.9158895611763,
54,,,,superior mesenteric,superior mesenteric,0.9123322367668152,
55,Ileocolic artery,Superior mesenteric artery,UBERON:0001197,superior mesenteric,ileocolic,1.0,need to check parent-child relation
56,Appendicular artery,Ileocolic artery,ILX:0745208,appendicular,ileocolic ileal branch,0.9785284996032715,
56,,,,ileocolic,ileocolic,0.9476127028465271,
56,,,,ileocolic ileal branch,anterior cecal,0.9388981461524963,
56,,,,ileocolic,ileocolic ileal branch,0.9321504235267639,
56,,,,superior mesenteric,ileocolic,0.9295628070831299,
57,Ileal branch of ileocolic artery,Ileocolic artery,ILX:0742399,ileocolic,ileocolic ileal branch,0.9885669350624084,
57,,,,ileocolic,ileocolic,0.9805232286453247,
57,,,,ileocolic,ileocolic colic branch,0.9717755317687988,
57,,,,ileocolic ileal branch,ileocolic ileal branch,0.9581640958786011,
57,,,,ileocolic colic branch,ileocolic ileal branch,0.9556388258934021,
58,Colic branch of ileocolic artery,Ileocolic artery,ILX:0745487,ileocolic,ileocolic colic branch,0.984153151512146,
58,,,,ileocolic,ileocolic,0.978782057762146,
58,,,,ileocolic,ileocolic ileal branch,0.9754906296730042,
58,,,,ileocolic colic branch,ileocolic ileal branch,0.9566375613212585,
58,,,,ileocolic colic branch,ileocolic colic branch,0.9529309868812561,
59,Inferior pancreaticoduodenal artery,Superior mesenteric artery,UBERON:0001195,superior mesenteric,inferior pancreaticoduodenal,1.000000238418579,need to check parent-child relation
60,Anterior inferior pancreaticoduodenal artery,Inferior pancreaticoduodenal artery,ILX:0747993,inferior pancreaticoduodenal,inferior pancreaticoduodenal,0.9898316860198975,
60,,,,inferior pancreaticoduodenal,anterior superior pancreaticoduodenal,0.9622254371643066,
60,,,,inferior pancreatic,inferior pancreatic,0.9563530683517456,
60,,,,inferior pancreaticoduodenal,posterior superior pancreaticoduodenal,0.9547429084777832,
60,,,,inferior pancreatic,dorsal pancreatic,0.9275815486907959,
61,Inferior mesenteric artery,Abdominal aorta,UBERON:0001183,inferior mesenteric,abdominal aorta,1.0000001192092896,align
62,Left colic artery,Inferior mesenteric artery,ILX:0743668,left colic,inferior mesenteric,0.9999999403953552,align
63,Ascending branch of left colic artery,Left colic artery,FMA:14828,left colic ascending branch,left colic,0.9896076321601868,
63,,,,left colic descending branch,left colic,0.9713883996009827,
63,,,,left colic,inferior mesenteric,0.9294567108154297,
63,,,,left coronary anterior interventricular branch,left coronary,0.9201617240905762,
63,,,,left coronary circumflex branch,left coronary,0.9183768033981323,
64,Descending branch of left colic artery,Left colic artery,FMA:14829,left colic descending branch,left colic,1.0,align
65,Sigmoid arteries,Inferior mesenteric artery,UBERON:0035180,sigmoid 2,inferior mesenteric,0.9633437395095825,
